Gene.ID	logFC	logCPM	F	PValue	FDR
ENSMUSG00000094377	-0.0935980675269767	5.72688382395388	0.281319385121152	0.60515951090136	0.966936865953655
ENSMUSG00000096243	-0.0935980675269767	5.72688382395388	0.281319385121152	0.60515951090136	0.966936865953655
ENSMUSG00000053964	-0.0672767740361252	10.1053453034375	0.281303564688505	0.605169547323851	0.966936865953655
ENSMUSG00000020893	-0.0686171830092763	11.4440990380967	0.281130316305478	0.6052794794038	0.966936865953655
ENSMUSG00000003438	-0.0691270980610948	8.02953412727216	0.281109895140361	0.605292440232327	0.966936865953655
ENSMUSG00000101162	-0.0926879329819677	6.87627139913187	0.281006123142194	0.605358311291269	0.966936865953655
ENSMUSG00000097999	0.134440623646635	1.51080814073354	0.280979898494881	0.60537496033348	0.966936865953655
ENSMUSG00000074224	-0.0828105171176752	6.53210519438746	0.280960883196764	0.605387033061221	0.966936865953655
ENSMUSG00000038545	-0.0807326671412461	9.18598724678637	0.280841825675127	0.605462634194715	0.966936865953655
ENSMUSG00000087036	-0.103442787788332	8.349959855951	0.280744292281643	0.605524583063266	0.966936865953655
ENSMUSG00000093087	-0.0758227803334112	4.75294275293303	0.280677081487189	0.605567280487707	0.966936865953655
ENSMUSG00000015290	0.0688704328106911	7.1764215519922	0.28051675258506	0.605669160408383	0.966936865953655
ENSMUSG00000026281	0.0759023097219962	7.90730221992876	0.280389784830215	0.605749867995923	0.966936865953655
ENSMUSG00000079442	-0.0768118038820077	10.6009625437333	0.280348605265265	0.605776049046503	0.966936865953655
ENSMUSG00000022543	-0.0637705508014404	7.43175613262337	0.280329203344428	0.605788385219587	0.966936865953655
ENSMUSG00000020901	0.0739718904064162	6.31713391443161	0.280192641068229	0.605875230211502	0.966936865953655
ENSMUSG00000022575	-0.0730128649202495	5.62081471300979	0.280152906144862	0.60590050426726	0.966936865953655
ENSMUSG00000054256	-0.101650683261682	8.96323731217877	0.280034144072469	0.605976058698445	0.966936865953655
ENSMUSG00000031105	-0.0805514888730108	7.2524168495975	0.279976067614519	0.606013013522238	0.966936865953655
ENSMUSG00000025173	0.0600384113409058	8.75420416473438	0.279885393198425	0.606070720792724	0.966936865953655
ENSMUSG00000063765	-0.0784907610648531	7.98927308387648	0.279871612757483	0.606079492040457	0.966936865953655
ENSMUSG00000004771	-0.0674240669598767	8.86586364478613	0.279815713884569	0.606115074530817	0.966936865953655
ENSMUSG00000025208	-0.0685238888294137	8.28600915946141	0.279723138156131	0.606174013844236	0.966936865953655
ENSMUSG00000021209	-0.0613148865070884	8.6833567103081	0.279710447211898	0.60618209465245	0.966936865953655
ENSMUSG00000080556	-0.0878261891355475	4.09812273670972	0.279697824706005	0.606190132118944	0.966936865953655
ENSMUSG00000066189	0.0653286262398611	7.58325511005606	0.279660857092076	0.606213672850369	0.966936865953655
ENSMUSG00000035890	-0.079249640541595	8.10472420947035	0.279622264070955	0.606238250780908	0.966936865953655
ENSMUSG00000073962	-0.12189314863612	2.72847695996186	0.279589305354757	0.606259242248962	0.966936865953655
ENSMUSG00000043398	-0.08886578580796	5.44098243755849	0.279576919066419	0.606267131513544	0.966936865953655
ENSMUSG00000029762	-0.0968147197620056	4.16986850446889	0.279542965406824	0.606288758959641	0.966936865953655
ENSMUSG00000020716	0.0586767269018952	8.05360251501997	0.279496758038517	0.606318194377998	0.966936865953655
ENSMUSG00000072946	0.0981697127631593	6.2816387836586	0.279351657541682	0.606410648046746	0.966936865953655
ENSMUSG00000065301	0.139921588533112	1.75386018337588	0.279340387411719	0.606417830335739	0.966936865953655
ENSMUSG00000084400	-0.106134436303177	2.15971006154166	0.279317099889082	0.606432671727801	0.966936865953655
ENSMUSG00000093079	0.109037722678955	3.72170728140055	0.27928200065465	0.606455042366595	0.966936865953655
ENSMUSG00000030621	-0.0611023261650613	8.03100693589694	0.279224128523464	0.606491931378913	0.966936865953655
ENSMUSG00000020377	-0.0727444275731541	8.89956547975732	0.279108406133001	0.606565710311533	0.966936865953655
ENSMUSG00000025266	0.0625836599170339	6.88407382949159	0.279086250752448	0.606579837756686	0.966936865953655
ENSMUSG00000038555	-0.0643707202713153	7.81759110004562	0.279082117909647	0.606582473156705	0.966936865953655
ENSMUSG00000097507	-0.0643707202713153	7.81759110004562	0.279082117909647	0.606582473156705	0.966936865953655
ENSMUSG00000025534	0.0620078880019311	7.51217189911518	0.279063014073663	0.606594655475069	0.966936865953655
ENSMUSG00000040181	-0.101165461361128	4.79812419730039	0.278981036808114	0.606646937658703	0.966936865953655
ENSMUSG00000024953	-0.0771841567588413	8.58225000505882	0.278918424865013	0.606686876028022	0.966936865953655
ENSMUSG00000014606	-0.074409218917193	9.90266330720508	0.278898673020327	0.606699476369553	0.966936865953655
ENSMUSG00000090043	0.137629389759016	2.12471233054261	0.278776188355989	0.606777626205089	0.966936865953655
ENSMUSG00000034290	0.0627676346611401	6.20729951370974	0.278698979846145	0.606826899567504	0.966936865953655
ENSMUSG00000058748	0.0909290269261741	2.90251187012942	0.278526644225741	0.60693691356302	0.966936865953655
ENSMUSG00000018442	-0.0707936200558629	7.92944324823573	0.278492032830518	0.606959013772403	0.966936865953655
ENSMUSG00000033762	0.0793225328684852	5.30359058426671	0.278460612500343	0.606979077949139	0.966936865953655
ENSMUSG00000039157	-0.07655809989712	10.5944417268946	0.278418805598053	0.607005776982783	0.966936865953655
ENSMUSG00000010607	-0.0748676139051197	6.05292502121709	0.278332475418908	0.607060918011963	0.966936865953655
ENSMUSG00000097756	-0.0760909573209296	7.30403695520282	0.278274894775833	0.607097702217587	0.966936865953655
ENSMUSG00000101648	0.0781056443708065	5.77038087736343	0.27820879106874	0.607139937279366	0.966936865953655
ENSMUSG00000024862	-0.0787893729173521	7.88887224779822	0.278188910538178	0.607152640642335	0.966936865953655
ENSMUSG00000027395	-0.06402114680461	8.89002541217931	0.27807368451673	0.607226279923628	0.966936865953655
ENSMUSG00000073468	-0.0661400263105029	10.2321437116468	0.278026250636778	0.607256599965029	0.966936865953655
ENSMUSG00000052363	0.0732217082419094	6.08252930334496	0.277997996516575	0.60727466177082	0.966936865953655
ENSMUSG00000020776	-0.073763043549624	11.4398281657021	0.277981221586641	0.60728538592	0.966936865953655
ENSMUSG00000092963	-0.0733792063262062	7.37319363116255	0.277956745315997	0.607301034258178	0.966936865953655
