Gene.ID	logFC	logCPM	F	PValue	FDR
ENSMUSG00000063659	1.04029924389449	4.88316956620914	8.00164986735708	0.0046746601705278	0.999933314589864
ENSMUSG00000024383	1.1185320546807	2.16429153691637	7.15438848276142	0.00747962969178777	0.999933314589864
ENSMUSG00000024386	1.1185320546807	2.16429153691637	7.15438848276142	0.00747962969178777	0.999933314589864
ENSMUSG00000024712	1.07498347389111	2.4896766559206	7.08417808371345	0.00777833270482447	0.999933314589864
ENSMUSG00000027454	0.945752682652535	4.22604773163188	6.54096872096174	0.0105436567496624	0.999933314589864
ENSMUSG00000032046	0.945752682652535	4.22604773163188	6.54096872096174	0.0105436567496624	0.999933314589864
ENSMUSG00000097892	1.0305680405413	2.31237289623984	6.28724227916543	0.0121630168788366	0.999933314589864
ENSMUSG00000102432	1.0305680405413	2.31237289623984	6.28724227916543	0.0121630168788366	0.999933314589864
ENSMUSG00000038843	1.07195856120371	1.91168847899893	6.25013342883386	0.012420420899682	0.999933314589864
ENSMUSG00000023147	0.887724556973273	6.08849091580916	6.20174841175425	0.0127644715851551	0.999933314589864
ENSMUSG00000040118	0.882596331424675	4.37564557327792	5.7187981779925	0.0167865573515346	0.999933314589864
ENSMUSG00000032449	0.835695932131927	5.70245332483961	5.44050572684752	0.019677488719778	0.999933314589864
ENSMUSG00000082341	0.938590494607055	2.23735099174349	5.14734956353802	0.0232845891740883	0.999933314589864
ENSMUSG00000103043	1.02101690978579	1.32956509992325	5.09713133392901	0.02396818440876	0.999933314589864
ENSMUSG00000033060	0.802129273778594	6.13780646627298	5.08438440357712	0.0241449924208185	0.999933314589864
ENSMUSG00000039488	0.854497178591875	2.78082210839597	4.76818550525911	0.0289933177746103	0.999933314589864
ENSMUSG00000032712	0.790777710970919	4.9906782460436	4.68926192277569	0.0303546870157613	0.999933314589864
ENSMUSG00000029233	0.771947874832045	5.59499881428738	4.63478444071679	0.0313331203543991	0.999933314589864
ENSMUSG00000035376	0.904851688930294	2.02150826251917	4.59933245470442	0.0319874713068479	0.999933314589864
ENSMUSG00000026988	0.761523721816892	5.60157969596966	4.51251111131822	0.0336509273385946	0.999933314589864
ENSMUSG00000101365	0.832444847115447	2.5464701280954	4.34787795905083	0.0370583158937281	0.999933314589864
ENSMUSG00000021928	0.90841368321653	1.62718981980588	4.30114475822312	0.0380899838205387	0.999933314589864
ENSMUSG00000089253	0.90841368321653	1.62718981980588	4.30114475822312	0.0380899838205387	0.999933314589864
ENSMUSG00000101505	0.90841368321653	1.62718981980588	4.30114475822312	0.0380899838205387	0.999933314589864
ENSMUSG00000058486	0.754861158657654	4.94582985412123	4.26862829829784	0.0388255340596192	0.999933314589864
ENSMUSG00000040681	0.729649846267165	6.61568762239675	4.25159114763858	0.0392168609189212	0.999933314589864
ENSMUSG00000093581	0.963759073392802	0.943527409495811	4.21476566747093	0.0400769114142755	0.999933314589864
ENSMUSG00000096936	0.878100559694009	1.81578171847079	4.17361512828546	0.0410614406759424	0.999933314589864
ENSMUSG00000039630	0.721131742008546	6.1956792998827	4.12657265833002	0.0422181316079044	0.999933314589864
ENSMUSG00000072653	0.746355729071284	4.26750286435181	4.10492406860135	0.0427618901151486	0.999933314589864
ENSMUSG00000026304	0.742582679804255	4.13271784143304	4.06193590793605	0.043863594731503	0.999933314589864
ENSMUSG00000020191	0.763115687010849	3.25399558410269	4.05681305021291	0.0439968613021511	0.999933314589864
ENSMUSG00000062098	0.746676291037444	3.76055223702887	4.04485878664933	0.0443095008576674	0.999933314589864
ENSMUSG00000100725	0.720679068147283	5.45952592297762	4.01712186976101	0.0450439466461736	0.999933314589864
ENSMUSG00000026527	0.748355613903081	3.55707307266363	4.01087809152084	0.0452110364453057	0.999933314589864
ENSMUSG00000056004	0.734644648060728	4.61247122024799	3.99892527754972	0.0455327295616322	0.999933314589864
ENSMUSG00000104026	0.749255250485402	3.46094164525553	3.98980963503696	0.0457796845202628	0.999933314589864
ENSMUSG00000069303	0.754124258057432	3.27486535222808	3.96971400086681	0.0463291008430941	0.999933314589864
ENSMUSG00000044250	1.02497311052383	0.155116914901364	3.92312401748948	0.0476297883300132	0.999933314589864
ENSMUSG00000048218	1.02497311052383	0.155116914901364	3.92312401748948	0.0476297883300132	0.999933314589864
ENSMUSG00000028656	0.940493779939217	0.841570161034747	3.91584159068282	0.0478365530209251	0.999933314589864
ENSMUSG00000074748	0.736199869975405	3.65091263816883	3.90866138435712	0.048041342840208	0.999933314589864
ENSMUSG00000026305	0.742316014280348	3.3999512322816	3.90068511217477	0.0482699227538113	0.999933314589864
ENSMUSG00000025006	0.721833574422946	4.57851194096005	3.85934040928261	0.0494732985520435	0.999933314589864
ENSMUSG00000029501	0.743265663978954	3.24067231543451	3.84299763968116	0.0499576708218367	0.999933314589864
ENSMUSG00000087439	0.743265663978954	3.24067231543451	3.84299763968116	0.0499576708218367	0.999933314589864
